id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31052404,COYZ double bedroom in heart of Barcelona,231834160,David,Eixample,l'Antiga Esquerra de l'Eixample,41.38946,2.16032,Private room,99,1,17,2019-03-10,2.25,2,90
31057525,Habitación carrer trajá 2,231987655,Manuel,Sants-Montjuïc,la Font de la Guatlla,41.36809,2.14001,Entire home/apt,16,178,0,,,1,363
31067593,Room in Barcelona for two.,229590514,Tusia & Alex,Sant Martí,el Camp de l'Arpa del Clot,41.41106,2.18422,Private room,35,3,20,2019-08-09,2.65,3,86
31069660,COZY CENTER TERRACE,232106021,Samuele,Eixample,l'Antiga Esquerra de l'Eixample,41.38893,2.159,Entire home/apt,37,3,24,2019-07-16,3.26,2,308
31081651,Bombón en la Diagonal/Maciá,224910368,Jordi,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39439,2.1494,Entire home/apt,50,30,0,,,2,365
31083859,"AUGUST IN BARCELONA! GOTHIC, OLD TOWN mr!",1447144,Acomodis Apartments,Ciutat Vella,el Barri Gòtic,41.37881,2.18064,Entire home/apt,95,3,1,2019-02-28,0.18,80,115
31085661,Habitación single,10531070,Julia,Eixample,la Nova Esquerra de l'Eixample,41.38148,2.1556,Private room,15,1,24,2019-07-24,3.21,21,299
31085866,Amplia y cómoda habitación Pl.España,10531070,Julia,Eixample,la Nova Esquerra de l'Eixample,41.38158,2.15171,Private room,20,1,22,2019-07-26,2.97,21,315
31087851,Cozy studio Barcelona,49894730,Natalie,Ciutat Vella,el Raval,41.37801,2.16682,Entire home/apt,35,31,1,2019-05-17,0.34,7,339
31095290,Modern & Stylish in Plaza Espana with Balcony,32037490,SweetInn,Sants-Montjuïc,Hostafrancs,41.37551,2.1433,Entire home/apt,120,2,8,2019-07-25,1.24,76,153
31095446,Modern & Classic in Plaza Espana with Balcony,32037490,SweetInn,Sants-Montjuïc,Hostafrancs,41.37745,2.14215,Entire home/apt,120,2,9,2019-07-14,1.23,76,140
31097752,★ BEACH SUN by Cocoon Barcelona,229536528,Sabrina,Sant Martí,el Poblenou,41.3964,2.19638,Entire home/apt,135,3,30,2019-08-06,4.41,3,293
31098970,GIRL/INDIVIDUAL ROOM NEXT TO SAGRADA FAMILIA-GAUDI,232372227,Mari,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40247,2.16926,Private room,31,1,1,2019-05-05,0.30,1,231
31109777,Friendly Place,232403274,Joanna,Ciutat Vella,el Raval,41.38547,2.16909,Private room,39,1,2,2019-08-10,2,1,293
31110379,Preciosa habitación en el centro de Barcelona,232482290,Room Mate Gerard,Eixample,la Dreta de l'Eixample,41.39237,2.17521,Private room,999,1,0,,,2,290
31110380,Lovely design Deluxe double room,225708649,Anna,Eixample,la Dreta de l'Eixample,41.39241,2.16641,Private room,999,1,0,,,2,290
31110581,Preciosa habitación con balcón en el centro de Barcelona,232482290,Room Mate Gerard,Eixample,la Dreta de l'Eixample,41.39207,2.17585,Private room,999,1,0,,,2,288
31112952,Habitación cama individual,232508463,Trilce,Sant Martí,el Camp de l'Arpa del Clot,41.41147,2.18358,Private room,40,30,1,2019-03-31,0.22,1,365
31116239,SUPER CENTRAL PRIVATE DOUBLE  ROOM IN BARCELONA,225421837,Anastasiia Y Jose,Ciutat Vella,el Barri Gòtic,41.38176,2.17577,Private room,60,3,2,2019-07-05,1.02,3,327
31117626,Barcelona Center - 1 person,180102449,Iván,Eixample,el Fort Pienc,41.40117,2.18241,Private room,18,2,16,2019-08-09,2.84,5,237
31131656,modernist Family Appartment,100007010,Gabriela,Eixample,l'Antiga Esquerra de l'Eixample,41.39105,2.15686,Entire home/apt,130,31,0,,,1,338
31133214,Lovely 3 Bed Apt w/Terrace & Balcony in Nou Barris,231468480,Marian Angeles,Nou Barris,la Prosperitat,41.44137,2.17967,Entire home/apt,78,2,3,2019-06-30,0.88,4,351
31133542,Best Location: Heart of Old Town,232691262,Max,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38333,2.18173,Private room,80,30,0,,,1,324
31133784,Excellent exterior room for 3 people,10531070,Julia,Eixample,la Nova Esquerra de l'Eixample,41.38173,2.15107,Private room,25,1,26,2019-07-26,4.43,21,329
31134706,"Big, quiet private room in the heart of Barcelona",658198,Sebastian,Ciutat Vella,el Barri Gòtic,41.38407,2.17446,Private room,19,32,0,,,1,286
31135764,Comfortable Double Room in Barcelona,65958595,Guillermina,Eixample,l'Antiga Esquerra de l'Eixample,41.39266,2.15487,Private room,110,2,4,2019-06-03,0.71,1,13
31135781,Genial habitación en residencia con servicios!,36607755,Igor,Eixample,la Dreta de l'Eixample,41.39851,2.16304,Private room,27,32,0,,,91,224
31140016,MODERN CENTRAL APARTMENT 10 MIN TO PLAZA CATALUÑA,4289463,Dionisio,Eixample,Sant Antoni,41.37773,2.16261,Entire home/apt,79,3,17,2019-07-28,2.77,2,309
31141732,Habitació per viure la gran ciutat de Barcelona,232757080,Daniel,Eixample,la Nova Esquerra de l'Eixample,41.38264,2.14552,Private room,35,30,0,,,1,254
31145668,Vintage Design,128193450,Lola,Eixample,la Dreta de l'Eixample,41.38812,2.16883,Private room,245,3,4,2019-08-01,1.07,1,364
31145711,excelente room doble/TV/terraza plaza España/sants,18931097,Neto,Eixample,la Nova Esquerra de l'Eixample,41.38158,2.14302,Private room,27,2,56,2019-08-06,7.92,1,323
31149166,Habitación individual en Paseo de Gracia,195658484,Mavi,Eixample,la Dreta de l'Eixample,41.39264,2.16609,Private room,46,1,25,2019-08-04,3.75,5,169
31155844,"STA Anna IV, Friendly Rentals",102947901,Claudia,Ciutat Vella,el Barri Gòtic,41.3866,2.17255,Entire home/apt,85,1,0,,,150,222
31155852,"PTF Port Vell, Friendly Rentals",102947901,Claudia,Ciutat Vella,el Barri Gòtic,41.38238,2.17361,Entire home/apt,85,1,9,2019-07-18,2.16,150,237
31157528,SUPER! 2 bedrooms and 2 bathrooms apartment,2579651,"Castro Exclusive XXI, S.L.",Horta-Guinardó,el Guinardó,41.41539,2.17579,Entire home/apt,700,1,0,,,11,365
31158109,Luxurious 3 Bed Apt w/ Terrace in Sants-Montjuic,95722599,Faisal & Ylenia,Sants-Montjuïc,la Bordeta,41.36917,2.13919,Entire home/apt,35,31,1,2019-07-02,0.71,1,311
